,energy_usage,carbon_intensity,battery_level,decision,emission_baseline,emission_w_battery,max_em_delta,emission_delta,emission_baseline_sum,reward
0,969,324,[2500.],Charged,[313.956],[1123.956],[0],[-810.],[329073.2],-0.01
1,1583,322,[0],Discharged,[509.726],0,[0],[-300.274],,-0.01
2,818,315,[2500.],Charged,[257.67],[1045.17],[0],[-1087.774],,-0.01
3,1201,316,[5000.],Charged,[379.516],[1169.516],[0],[-1877.774],,-0.01
4,1369,319,[7500.],Charged,[436.711],[1234.211],[0],[-2675.274],,-0.01
5,908,323,[10000],Charged,[293.284],[1100.784],[0],[-3482.774],,-0.01
6,1595,276,[10000],Illegal action,[440.22],[440.22],[0],[-3482.774],,-0.01
7,1566,249,[10000],Illegal action,[389.934],[389.934],[0],[-3482.774],,-0.01
8,1230,227,[10000],Illegal action,[279.21],[279.21],[0],[-3482.774],,-0.01
9,2093,229,[10000],Illegal action,[479.297],[479.297],[0],[-3482.774],,-0.01
10,1483,224,[10000],Illegal action,[332.192],[332.192],[0],[-3482.774],,-0.01
11,1524,216,[10000],Nothing,[329.184],[329.184],[0],[-3482.774],,-0.1
12,1317,214,[10000],Illegal action,[281.838],[281.838],[0],[-3482.774],,-0.01
13,1493,213,[10000],Illegal action,[318.009],[318.009],[0],[-3482.774],,-0.01
14,1586,219,[10000],Illegal action,[347.334],[347.334],[0],[-3482.774],,-0.01
15,2707,227,[10000],Nothing,[614.489],[614.489],[0],[-3482.774],,-0.1
16,548,244,[10000],Illegal action,[133.712],[133.712],[0],[-3482.774],,-0.01
17,1412,277,[10000],Illegal action,[391.124],[391.124],[0],[-3482.774],,-0.01
18,1631,335,[10000],Illegal action,[546.385],[546.385],[0],[-3482.774],,-0.01
19,1792,334,[10000],Illegal action,[598.528],[598.528],[0],[-3482.774],,-0.01
20,1851,327,[10000],Illegal action,[605.277],[605.277],[0],[-3482.774],,-0.01
21,503,317,[9497],Discharged,[159.451],0,[0],[-3323.323],,-0.01
22,1057,312,[10000],Charged,[329.784],[486.72],[0],[-3480.259],,-0.01
23,1013,313,[10000],Illegal action,[317.069],[317.069],[0],[-3480.259],,-0.01
24,947,317,[10000],Illegal action,[300.199],[300.199],[0],[-3480.259],,-0.01
25,1322,321,[10000],Illegal action,[424.362],[424.362],[0],[-3480.259],,-0.01
26,797,323,[10000],Illegal action,[257.431],[257.431],[0],[-3480.259],,-0.01
27,1323,345,[10000],Illegal action,[456.435],[456.435],[0],[-3480.259],,-0.01
28,789,352,[10000],Illegal action,[277.728],[277.728],[0],[-3480.259],,-0.01
29,1120,353,[10000],Illegal action,[395.36],[395.36],[0],[-3480.259],,-0.01
30,1945,305,[10000],Nothing,[593.225],[593.225],[0],[-3480.259],,-0.1
31,1310,272,[10000],Illegal action,[356.32],[356.32],[0],[-3480.259],,-0.01
32,4013,250,[10000],Illegal action,[1003.25],[1003.25],[0],[-3480.259],,-0.01
33,995,236,[10000],Illegal action,[234.82],[234.82],[0],[-3480.259],,-0.01
34,1239,233,[10000],Illegal action,[288.687],[288.687],[0],[-3480.259],,-0.01
35,4720,233,[10000],Illegal action,[1099.76],[1099.76],[0],[-3480.259],,-0.01
36,560,229,[10000],Illegal action,[128.24],[128.24],[0],[-3480.259],,-0.01
37,1076,223,[10000],Illegal action,[239.948],[239.948],[0],[-3480.259],,-0.01
38,1034,228,[10000],Illegal action,[235.752],[235.752],[0],[-3480.259],,-0.01
39,1480,240,[10000],Illegal action,[355.2],[355.2],[0],[-3480.259],,-0.01
40,1091,260,[10000],Illegal action,[283.66],[283.66],[0],[-3480.259],,-0.01
41,611,286,[10000],Illegal action,[174.746],[174.746],[0],[-3480.259],,-0.01
42,2212,349,[10000],Illegal action,[771.988],[771.988],[0],[-3480.259],,-0.01
43,2444,355,[10000],Illegal action,[867.62],[867.62],[0],[-3480.259],,-0.01
44,1603,358,[10000],Illegal action,[573.874],[573.874],[0],[-3480.259],,-0.01
45,1434,357,[10000],Illegal action,[511.938],[511.938],[0],[-3480.259],,-0.01
46,699,360,[10000],Illegal action,[251.64],[251.64],[0],[-3480.259],,-0.01
47,1334,356,[10000],Illegal action,[474.904],[474.904],[0],[-3480.259],,-0.01
48,1071,349,[10000],Illegal action,[373.779],[373.779],[0],[-3480.259],,-0.01
49,921,341,[10000],Illegal action,[314.061],[314.061],[0],[-3480.259],,-0.01
50,1290,332,[10000],Illegal action,[428.28],[428.28],[0],[-3480.259],,-0.01
51,1150,341,[10000],Illegal action,[392.15],[392.15],[0],[-3480.259],,-0.01
52,690,353,[10000],Illegal action,[243.57],[243.57],[0],[-3480.259],,-0.01
53,881,363,[10000],Illegal action,[319.803],[319.803],[0],[-3480.259],,-0.01
54,1941,314,[10000],Illegal action,[609.474],[609.474],[0],[-3480.259],,-0.01
55,1835,284,[10000],Illegal action,[521.14],[521.14],[0],[-3480.259],,-0.01
56,1214,269,[10000],Nothing,[326.566],[326.566],[0],[-3480.259],,-0.1
57,1167,252,[10000],Illegal action,[294.084],[294.084],[0],[-3480.259],,-0.01
58,1029,239,[10000],Illegal action,[245.931],[245.931],[0],[-3480.259],,-0.01
59,4152,231,[10000],Illegal action,[959.112],[959.112],[0],[-3480.259],,-0.01
60,1953,228,[10000],Illegal action,[445.284],[445.284],[0],[-3480.259],,-0.01
61,1622,227,[10000],Illegal action,[368.194],[368.194],[0],[-3480.259],,-0.01
62,1333,233,[10000],Illegal action,[310.589],[310.589],[0],[-3480.259],,-0.01
63,1180,247,[10000],Illegal action,[291.46],[291.46],[0],[-3480.259],,-0.01
64,1224,264,[10000],Illegal action,[323.136],[323.136],[0],[-3480.259],,-0.01
65,731,290,[10000],Illegal action,[211.99],[211.99],[0],[-3480.259],,-0.01
66,1609,361,[10000],Illegal action,[580.849],[580.849],[0],[-3480.259],,-0.01
67,1902,380,[10000],Illegal action,[722.76],[722.76],[0],[-3480.259],,-0.01
68,1340,386,[10000],Illegal action,[517.24],[517.24],[0],[-3480.259],,-0.01
69,1333,380,[10000],Illegal action,[506.54],[506.54],[0],[-3480.259],,-0.01
70,538,403,[10000],Illegal action,[216.814],[216.814],[0],[-3480.259],,-0.01
71,715,405,[10000],Nothing,[289.575],[289.575],[0],[-3480.259],,-0.1
72,901,411,[10000],Illegal action,[370.311],[370.311],[0],[-3480.259],,-0.01
73,763,414,[10000],Illegal action,[315.882],[315.882],[0],[-3480.259],,-0.01
74,553,419,[10000],Illegal action,[231.707],[231.707],[0],[-3480.259],,-0.01
75,756,419,[10000],Illegal action,[316.764],[316.764],[0],[-3480.259],,-0.01
76,892,426,[10000],Illegal action,[379.992],[379.992],[0],[-3480.259],,-0.01
77,877,432,[10000],Nothing,[378.864],[378.864],[0],[-3480.259],,-0.1
78,683,364,[10000],Illegal action,[248.612],[248.612],[0],[-3480.259],,-0.01
79,1897,313,[10000],Illegal action,[593.761],[593.761],[0],[-3480.259],,-0.01
80,1156,286,[10000],Illegal action,[330.616],[330.616],[0],[-3480.259],,-0.01
81,771,276,[9229],Discharged,[212.796],0,[0],[-3267.463],,-0.01
82,2949,257,[10000],Charged,[757.893],[956.04],[0],[-3465.61],,-0.01
83,1474,247,[10000],Illegal action,[364.078],[364.078],[0],[-3465.61],,-0.01
84,671,245,[10000],Illegal action,[164.395],[164.395],[0],[-3465.61],,-0.01
85,795,251,[10000],Illegal action,[199.545],[199.545],[0],[-3465.61],,-0.01
86,1014,260,[10000],Illegal action,[263.64],[263.64],[0],[-3465.61],,-0.01
87,1414,273,[10000],Illegal action,[386.022],[386.022],[0],[-3465.61],,-0.01
88,951,289,[10000],Illegal action,[274.839],[274.839],[0],[-3465.61],,-0.01
89,2168,319,[10000],Illegal action,[691.592],[691.592],[0],[-3465.61],,-0.01
90,1056,394,[8944],Discharged,[416.064],0,[0],[-3049.546],,-0.01
91,1495,393,[10000],Charged,[587.535],[1002.543],[0],[-3464.554],,-0.01
92,1566,379,[10000],Illegal action,[593.514],[593.514],[0],[-3464.554],,-0.01
93,853,376,[10000],Illegal action,[320.728],[320.728],[0],[-3464.554],,-0.01
94,1011,361,[10000],Illegal action,[364.971],[364.971],[0],[-3464.554],,-0.01
95,773,346,[10000],Illegal action,[267.458],[267.458],[0],[-3464.554],,-0.01
96,731,342,[10000],Illegal action,[250.002],[250.002],[0],[-3464.554],,-0.01
97,871,342,[10000],Illegal action,[297.882],[297.882],[0],[-3464.554],,-0.01
98,521,344,[10000],Illegal action,[179.224],[179.224],[0],[-3464.554],,-0.01
99,800,350,[10000],Illegal action,[280.],[280.],[0],[-3464.554],,-0.01
100,838,366,[10000],Illegal action,[306.708],[306.708],[0],[-3464.554],,-0.01
101,536,382,[10000],Illegal action,[204.752],[204.752],[0],[-3464.554],,-0.01
102,760,325,[10000],Illegal action,[247.],[247.],[0],[-3464.554],,-0.01
103,1611,284,[10000],Illegal action,[457.524],[457.524],[0],[-3464.554],,-0.01
104,1653,262,[10000],Illegal action,[433.086],[433.086],[0],[-3464.554],,-0.01
105,1919,256,[10000],Illegal action,[491.264],[491.264],[0],[-3464.554],,-0.01
106,1347,253,[10000],Illegal action,[340.791],[340.791],[0],[-3464.554],,-0.01
107,1042,257,[10000],Illegal action,[267.794],[267.794],[0],[-3464.554],,-0.01
108,1099,259,[10000],Illegal action,[284.641],[284.641],[0],[-3464.554],,-0.01
109,1092,261,[10000],Illegal action,[285.012],[285.012],[0],[-3464.554],,-0.01
110,744,282,[10000],Illegal action,[209.808],[209.808],[0],[-3464.554],,-0.01
111,1874,312,[10000],Illegal action,[584.688],[584.688],[0],[-3464.554],,-0.01
112,995,338,[10000],Illegal action,[336.31],[336.31],[0],[-3464.554],,-0.01
113,616,378,[10000],Nothing,[232.848],[232.848],[0],[-3464.554],,-0.1
114,1006,473,[10000],Illegal action,[475.838],[475.838],[0],[-3464.554],,-0.01
